Company,Price,Change,% Change,P/E,Volume,YTDchange,Symbol,url
Nike,58.97,-0.1,-0.17%,23.5,5.0M,+16.01%,NKE,http://money.cnn.com/quote/quote.html?symb=NKE
NiSource Inc,26.35,-0.02,-0.08%,31.0,1.4M,+19.02%,NI,http://money.cnn.com/quote/quote.html?symb=NI
Noble Energy,24.65,-0.27,-1.08%,NM,4.0M,-35.23%,NBL,http://money.cnn.com/quote/quote.html?symb=NBL
Nordstrom Inc,44.9,0.03,+0.07%,21.1,6.5M,-6.32%,JWN,http://money.cnn.com/quote/quote.html?symb=JWN
Norfolk Southern,116.56,1.12,+0.97%,19.0,1.1M,+7.86%,NSC,http://money.cnn.com/quote/quote.html?symb=NSC
Northern Trust,87.15,-0.05,-0.06%,19.8,1.0M,-2.13%,NTRS,http://money.cnn.com/quote/quote.html?symb=NTRS
Northrop Grumman,269.28,-1.27,-0.47%,20.6,701.4K,+15.78%,NOC,http://money.cnn.com/quote/quote.html?symb=NOC
NRG Energy Inc,24.67,0.28,+1.15%,NM,3.4M,+101.22%,NRG,http://money.cnn.com/quote/quote.html?symb=NRG
Nucor Corp,55.37,-1.17,-2.07%,16.7,2.2M,-6.97%,NUE,http://money.cnn.com/quote/quote.html?symb=NUE
NVIDIA Corp,155.96,-8.78,-5.33%,51.8,37.4M,+46.11%,NVDA,http://money.cnn.com/quote/quote.html?symb=NVDA
O'Reilly Automotive Inc,198.91,1.69,+0.86%,17.4,984.1K,-28.56%,ORLY,http://money.cnn.com/quote/quote.html?symb=ORLY
Occidental Petroleum,61.13,-0.21,-0.34%,407.5,2.5M,-14.18%,OXY,http://money.cnn.com/quote/quote.html?symb=OXY
Omnicom Group Inc,77.75,-0.18,-0.23%,15.7,1.0M,-8.65%,OMC,http://money.cnn.com/quote/quote.html?symb=OMC
ONEOK Inc,52.41,0.2,+0.38%,32.8,2.2M,-8.71%,OKE,http://money.cnn.com/quote/quote.html?symb=OKE
Oracle,48.24,0.14,+0.29%,21.8,11.7M,+25.46%,ORCL,http://money.cnn.com/quote/quote.html?symb=ORCL
PACCAR Inc,64.81,-0.4,-0.61%,17.3,1.5M,+1.42%,PCAR,http://money.cnn.com/quote/quote.html?symb=PCAR
Packaging Corp of America,107.52,0.19,+0.18%,20.7,1.5M,+26.76%,PKG,http://money.cnn.com/quote/quote.html?symb=PKG
Parker-Hannifin Corp,157.02,1.26,+0.81%,22.9,1.0M,+12.16%,PH,http://money.cnn.com/quote/quote.html?symb=PH
Patterson Companies Inc,37.98,0.51,+1.36%,20.9,952.4K,-7.43%,PDCO,http://money.cnn.com/quote/quote.html?symb=PDCO
Paychex Inc,54.24,-0.54,-0.99%,24.1,1.8M,-10.91%,PAYX,http://money.cnn.com/quote/quote.html?symb=PAYX
PayPal Holdings Inc,58.04,0.02,+0.03%,46.8,7.0M,+47.05%,PYPL,http://money.cnn.com/quote/quote.html?symb=PYPL
Pentair plc,61.57,0.05,+0.08%,30.0,558.0K,+9.81%,PNR,http://money.cnn.com/quote/quote.html?symb=PNR
People's United Financial Inc,16.82,-0.17,-1.00%,18.1,2.1M,-13.12%,PBCT,http://money.cnn.com/quote/quote.html?symb=PBCT
Pepsi,116.51,0.13,+0.11%,24.6,2.8M,+11.35%,PEP,http://money.cnn.com/quote/quote.html?symb=PEP
PerkinElmer Inc,63.93,0.98,+1.56%,33.5,497.4K,+22.59%,PKI,http://money.cnn.com/quote/quote.html?symb=PKI
Perrigo Company PLC,78.49,1.65,+2.15%,16.6,3.1M,-5.70%,PRGO,http://money.cnn.com/quote/quote.html?symb=PRGO
Pfizer,33.25,-0.17,-0.51%,27.9,12.9M,+2.37%,PFE,http://money.cnn.com/quote/quote.html?symb=PFE
PG&E,69.25,-0.11,-0.16%,17.0,2.2M,+13.95%,PCG,http://money.cnn.com/quote/quote.html?symb=PCG
Philip Morris,114.88,0.66,+0.58%,25.4,2.7M,+25.57%,PM,http://money.cnn.com/quote/quote.html?symb=PM
Phillips 66,83.44,-0.2,-0.24%,25.0,1.9M,-3.44%,PSX,http://money.cnn.com/quote/quote.html?symb=PSX
Pinnacle West Capital Corp,88.53,-0.44,-0.49%,19.5,437.7K,+13.46%,PNW,http://money.cnn.com/quote/quote.html?symb=PNW
Pioneer Natural Resources Co,134.02,-1.24,-0.92%,127.6,1.5M,-25.57%,PXD,http://money.cnn.com/quote/quote.html?symb=PXD
PNC Financial Services Group,128.05,-0.94,-0.73%,16.3,2.9M,+9.48%,PNC,http://money.cnn.com/quote/quote.html?symb=PNC
PPG Industries,100.73,-0.6,-0.59%,35.3,1.5M,+6.30%,PPG,http://money.cnn.com/quote/quote.html?symb=PPG
PPL,38.75,-0.26,-0.67%,16.2,1.7M,+13.80%,PPL,http://money.cnn.com/quote/quote.html?symb=PPL
Praxair Inc,127.44,-0.18,-0.14%,23.9,583.0K,+8.75%,PX,http://money.cnn.com/quote/quote.html?symb=PX
Priceline,1854.17,4.55,+0.25%,41.9,620.7K,+26.47%,PCLN,http://money.cnn.com/quote/quote.html?symb=PCLN
Principal Financial Group Inc,64.32,-0.11,-0.17%,14.6,851.7K,+11.16%,PFG,http://money.cnn.com/quote/quote.html?symb=PFG
Procter & Gamble,91.34,-0.4,-0.44%,24.8,7.1M,+8.63%,PG,http://money.cnn.com/quote/quote.html?symb=PG
Progressive Corp,47.23,-0.48,-1.01%,20.1,2.9M,+33.04%,PGR,http://money.cnn.com/quote/quote.html?symb=PGR
Prologis Inc,59.71,-0.23,-0.38%,26.8,1.7M,+13.11%,PLD,http://money.cnn.com/quote/quote.html?symb=PLD
Prudential,105.69,-0.37,-0.35%,11.8,2.2M,+1.57%,PRU,http://money.cnn.com/quote/quote.html?symb=PRU
Public Service Enterprise Group Inc,45.53,-0.08,-0.18%,51.2,2.5M,+3.76%,PEG,http://money.cnn.com/quote/quote.html?symb=PEG
Public Storage,198.63,-2.02,-1.01%,28.3,630.3K,-11.13%,PSA,http://money.cnn.com/quote/quote.html?symb=PSA
PulteGroup Inc,24.84,0.06,+0.24%,14.0,2.9M,+35.15%,PHM,http://money.cnn.com/quote/quote.html?symb=PHM
PVH Corp,123.88,2.25,+1.85%,25.5,686.3K,+37.28%,PVH,http://money.cnn.com/quote/quote.html?symb=PVH
Qorvo Inc,68.9,1.13,+1.67%,NM,961.0K,+30.67%,QRVO,http://money.cnn.com/quote/quote.html?symb=QRVO
Qualcomm,52.72,0.38,+0.73%,20.2,5.9M,-19.14%,QCOM,http://money.cnn.com/quote/quote.html?symb=QCOM
Quanta Services Inc,35.61,-0.07,-0.20%,24.7,1.5M,+2.18%,PWR,http://money.cnn.com/quote/quote.html?symb=PWR
Quest Diagnostics Inc,106.1,0.49,+0.46%,21.4,849.4K,+15.45%,DGX,http://money.cnn.com/quote/quote.html?symb=DGX
